trial,min_weight_on_accessible,max_blocked,sum_blocked
422,0.198454,0.0000000000,0.0000000000
423,0.197753,0.0000000000,0.0000000000
424,0.198313,0.0000000000,0.0000000000
425,0.197608,0.0000000000,0.0000000000
426,0.196248,0.0000000000,0.0000000000
427,0.196948,0.0000000000,0.0000000000
428,0.197660,0.0000000000,0.0000000000
429,0.195326,0.0000000000,0.0000000000
430,0.198215,0.0000000000,0.0000000000
431,0.194895,0.0000000000,0.0000000000
432,0.195899,0.0000000000,0.0000000000
433,0.194901,0.0000000000,0.0000000000
434,0.199055,0.0000000000,0.0000000000
435,0.196457,0.0000000000,0.0000000000
436,0.196878,0.0000000000,0.0000000000
437,0.195410,0.0000000000,0.0000000000
438,0.198340,0.0000000000,0.0000000000
439,0.199932,0.0000000000,0.0000000000
440,0.196250,0.0000000000,0.0000000000
441,0.196098,0.0000000000,0.0000000000
442,0.191430,0.0000000000,0.0000000000
443,0.196808,0.0000000000,0.0000000000
444,0.198113,0.0000000000,0.0000000000
445,0.198415,0.0000000000,0.0000000000
446,0.196802,0.0000000000,0.0000000000
447,0.195697,0.0000000000,0.0000000000
448,0.197725,0.0000000000,0.0000000000
449,0.198651,0.0000000000,0.0000000000
450,0.197383,0.0000000000,0.0000000000
451,0.197264,0.0000000000,0.0000000000
452,0.198612,0.0000000000,0.0000000000
453,0.198502,0.0000000000,0.0000000000
454,0.199079,0.0000000000,0.0000000000
455,0.198594,0.0000000000,0.0000000000
456,0.194844,0.0000000000,0.0000000000
457,0.197497,0.0000000000,0.0000000000
458,0.194770,0.0000000000,0.0000000000
459,0.198183,0.0000000000,0.0000000000
460,0.193632,0.0000000000,0.0000000000
461,0.192025,0.0000000000,0.0000000000
462,0.196169,0.0000000000,0.0000000000
463,0.197861,0.0000000000,0.0000000000
464,0.198756,0.0000000000,0.0000000000
465,0.194599,0.0000000000,0.0000000000
466,0.193153,0.0000000000,0.0000000000
467,0.197734,0.0000000000,0.0000000000
468,0.198971,0.0000000000,0.0000000000
469,0.196667,0.0000000000,0.0000000000
470,0.198285,0.0000000000,0.0000000000
471,0.198859,0.0000000000,0.0000000000
472,0.198901,0.0000000000,0.0000000000
473,0.197285,0.0000000000,0.0000000000
474,0.197919,0.0000000000,0.0000000000
475,0.194725,0.0000000000,0.0000000000
476,0.195863,0.0000000000,0.0000000000
477,0.195946,0.0000000000,0.0000000000
478,0.194984,0.0000000000,0.0000000000
479,0.194869,0.0000000000,0.0000000000
480,0.197595,0.0000000000,0.0000000000
481,0.199495,0.0000000000,0.0000000000
482,0.196581,0.0000000000,0.0000000000
483,0.199120,0.0000000000,0.0000000000
484,0.196588,0.0000000000,0.0000000000
485,0.196076,0.0000000000,0.0000000000
486,0.194430,0.0000000000,0.0000000000
487,0.198649,0.0000000000,0.0000000000
488,0.196309,0.0000000000,0.0000000000
489,0.199247,0.0000000000,0.0000000000
490,0.195763,0.0000000000,0.0000000000
491,0.196159,0.0000000000,0.0000000000
492,0.198781,0.0000000000,0.0000000000
493,0.199463,0.0000000000,0.0000000000
